docId,name_hotel,localtion_hotel,url_img,street_hotel,info_hotel
1Hzi8ztMo9twWHbeIVtu,La Giralda,Sevilla,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580447318.jpg?alt=media&token=e9cbe248-fd0d-4bbc-8918-a109110dce08,Calle Paco 13,"Situado en el corazón del casco antiguo de Sevilla, este hotel ofrece habitaciones con encanto, un patio andaluz lleno de plantas y flores, y una ubicación privilegiada cerca de la famosa Giralda y la Catedral."
4enkcLMwjCrijt4GEEhQ,Palacio Real,Córdoba,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580474917.jpg?alt=media&token=de3f96b9-6f0a-4990-8cf9-74964c579905,Calle Manolo 69,"Un hotel de ensueño ubicado en un antiguo palacio restaurado en el centro histórico de Huelva. Con habitaciones elegantes, un patio andaluz lleno de encanto y servicios de alta calidad para una estancia inolvidable."
4mOXkPeYllfWTJjcrGF1,Mar Azul,Cádiz,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580485001.jpg?alt=media&token=f27f87da-7112-42f0-bd48-190159ac1617,La Línea,"Un hotel con vistas al mar en la costa gaditana, ideal para los amantes del sol y la playa. Ofrece habitaciones luminosas, terraza con piscina, restaurante de mariscos frescos y una amplia gama de actividades acuáticas."
7Fv94aF6DGyk1JsN93B9,Alhambra Palace,Granada,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580492584.jpg?alt=media&token=ab82b38e-6d22-4eda-a4c1-b60d87154007,Alameda,"Ubicado en las faldas de la Alhambra, este hotel ofrece habitaciones de lujo con vistas espectaculares al monumento y a la ciudad de Granada. Cuenta con un restaurante gourmet, jardines hermosos y una piscina al aire libre."
7iSwH26pGGYaZyUNzQFg,Playa Serena,Málaga,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580499584.jpg?alt=media&token=11f36f27-50a2-4f93-ba41-d3b33a67f8d7,El Limonar,"Ubicado en primera línea de playa en la Costa del Sol, este hotel ofrece habitaciones modernas, piscina, spa y acceso directo a la playa. Es el lugar perfecto para disfrutar del sol, el mar y el ambiente animado de Málaga."
8U8rQri5xaa2Hi5qsKus,Castillo de Jaén,Jaén,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580506684.jpg?alt=media&token=31906cf6-b64f-4ae0-a7fc-12a0c946c7ee,Calle 13,"Situado en lo alto de una colina, este hotel ocupa un castillo medieval con vistas panorámicas a la ciudad de Jaén. Ofrece habitaciones temáticas, restaurante de cocina tradicional y visitas guiadas al castillo."
BhVwTdpESNdLOWgJLwah,Costa del Sol,Málaga,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580517200.jpg?alt=media&token=0d2b94fa-2fb6-43e0-83a3-9fdf6bcf4095,La Palmilla," Un hotel frente al mar en la Costa del Sol, ideal para unas vacaciones relajantes bajo el sol. Cuenta con habitaciones modernas, piscina al aire libre, spa, restaurantes y acceso directo a la playa."
GmsI1yjfV8fejYpVNOnF,Doñana Park,Huelva,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580523066.jpg?alt=media&token=f52c2d2a-7dcf-430c-a7ed-eb2a38282804,Avenida Doñana,"Un hotel rodeado de naturaleza en el Parque Nacional de Doñana, famoso por su rica fauna y flora. Ofrece habitaciones confortables, piscina al aire libre, restaurante con productos locales y excursiones guiadas por el parque."
ITiI8JGwVn2T3jMYAiKK,Oasis del Desierto,Almería,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580710597.jpg?alt=media&token=e8c626f6-6249-4c78-bef1-a31529753785,Avenida de la Libertad,"Un hotel temático del desierto situado en el Parque Natural de Tabernas. Ofrece habitaciones únicas inspiradas en las culturas del desierto, piscina, restaurante y actividades como paseos en camello y espectáculos de cine western."
RFf3Awkz9HVeCzReXTYG,Los Pinares,Almería,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580717530.jpg?alt=media&token=cef3be08-2a8c-4906-85f6-ee1d1c4103d5,Calle Mayor," Rodeado de un frondoso bosque de pinos, este hotel ofrece un refugio tranquilo en plena naturaleza. Cuenta con habitaciones cómodas, piscina al aire libre, restaurante de cocina regional y actividades al aire libre."
T0pjSPftSyVX3Xsqrdeh, Sierra Nevada,Granada,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686581251388.jpg?alt=media&token=ae5dcd84-9511-4016-8583-dd407b2ae008,Paseo de la Alameda,"Ubicado en plena Sierra Nevada, este hotel es perfecto para los amantes de la montaña y los deportes de invierno. Ofrece habitaciones acogedoras, acceso directo a las pistas de esquí y un ambiente cálido y acogedor."
XM9CzyT9ZttI76Vd9d9N,La Casa del Mar,Cádiz,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580733247.jpg?alt=media&token=ff566e22-552e-4b8f-9eb5-8b2969739651,Carrer de Sant Joan," Un hotel boutique en primera línea de playa en la encantadora ciudad de Cádiz. Ofrece habitaciones elegantes, vistas al mar, terraza con jacuzzi, spa y una atmósfera relajada y sofisticada."
b5F0ORlebrpV3SoQcoHn, La Costa Dorada,Almería,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580741063.jpg?alt=media&token=6f749d56-0e99-4d9a-9c07-6ed5d059391d,Via Condotti,"Un hotel de lujo ubicado en la costa almeriense, rodeado de hermosas playas de arena dorada. Ofrece habitaciones amplias con vistas al mar, spa, piscina y una exquisita gastronomía mediterránea."
geRSPnO2NDW9pF8qS4NI,Patio Andaluz,Córdoba,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580747731.jpg?alt=media&token=7f80d244-67cc-41be-8e59-a48607cf8577,Rodeo Drive,"Situado en un típico patio andaluz en el centro histórico de Córdoba, este hotel ofrece habitaciones con encanto, un ambiente tranquilo y una ubicación ideal para explorar los monumentos más importantes de la ciudad."
ki7gbpNEv7BvcslIkwVL,Ruta de los Patios,Córdoba,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580756096.jpg?alt=media&token=bddd3f8b-fb58-4fe2-81d5-6b79d66511c1,Gran Vía,"Este hotel se encuentra en un típico patio cordobés, declarado Patrimonio de la Humanidad por la UNESCO. Ofrece habitaciones con encanto, jardines exuberantes, piscina y la posibilidad de visitar los famosos patios de Córdoba."
qQlIoOx99VhMVvxyv5Zg,Mar de Olivos,Granada,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686580763128.jpg?alt=media&token=d3f6c59d-98e1-43dd-b269-00efc821c678,La Rambla,"Situado en las afueras de Granada, este hotel cuenta con unas vistas impresionantes a los olivares y a la Alhambra. Ofrece un ambiente tranquilo, habitaciones decoradas con gusto, piscina y un restaurante de alta cocina."
r4nAmbrBUKfR31uX29PI,El Mirador,Jaén,https://firebasestorage.googleapis.com/v0/b/hosthotel-3c0d2.appspot.com/o/hostHotel-images%2Fimage-1686581272820.jpg?alt=media&token=3bcbcfd5-de43-47fb-b1e7-11e4266ae4e1,Ginza,"Un hotel con encanto situado en la cima de una colina en Jaén, con vistas panorámicas a la ciudad y a los olivares. Ofrece habitaciones acogedoras, terrazas, restaurante de cocina tradicional y actividades al aire libre."
